#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-02-22T10:47:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60338a8c24f1	
#INFO	-out.max=unlimited	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:IX/10A&tab:{IX/10A/1rxs}&key:source=IX/10A/1rxs&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=IX/10A/1rxs
#-order=I
#-out=1RXS
#-out=RAJ2000
#-out=DEJ2000
#-out=Count
#

#RESOURCE=yCat_9010
#Name: IX/10A
#Title: ROSAT All-Sky Bright Source Catalogue (1RXS) (Voges+ 1999)
#Table	IX_10A_1rxs:
#Name: IX/10A/1rxs
#Title: The 1RXS catalogue
#Column	1RXS	(A16)	ROSAT All-Sky Survey Catalogue source name (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000), decimal degrees	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000), decimal degrees	[ucd=pos.eq.dec;meta.main]
#Column	Count	(E9.2)	? Source countrate (4)	[ucd=phot.count;em.X-ray]
Name;deg;deg;ct/s
J015020.5-234628;027.58542;-23.77458; 6.32e-02
J015020.7+612500;027.58625;+61.41681; 5.45e-02
J015021.2-100537;027.58833;-10.09375; 7.33e-02
J015021.4+110736;027.58917;+11.12667; 5.10e-02
J015021.6-092050;027.59000;-09.34736; 6.10e-02
J015025.6+091445;027.60667;+09.24597; 1.21e-01
J015028.6-122023;027.61917;-12.33972; 7.91e-02
J015028.9+501210;027.62042;+50.20292; 5.81e-02
J015035.8+065747;027.64917;+06.96319; 6.84e-02
J015044.1+330517;027.68375;+33.08820; 5.72e-02
J015047.4-182546;027.69750;-18.42945; 6.81e-02
J015054.8-254056;027.72833;-25.68222; 1.61e-01
J015101.3-322652;027.75542;-32.44778; 7.39e-02
J015105.7-003427;027.77375;-00.57417; 5.97e-02
J015109.6+673947;027.79000;+67.66306; 1.35e-01
J015113.5-632235;027.80625;-63.37653; 5.30e-02
J015119.8+132459;027.83250;+13.41653; 1.72e-01
J015124.8-352713;027.85333;-35.45375; 6.93e-02
J015136.8+415553;027.90333;+41.93139; 1.34e-01
J015137.0-023827;027.90417;-02.64097; 5.99e-02
J015141.9-361113;027.92458;-36.18708; 1.88e-01
J015152.0-325233;027.96667;-32.87597; 1.59e-01
J015159.5-280035;027.99792;-28.00972; 8.31e-02
J015201.5+374804;028.00625;+37.80111; 8.70e-02
J015210.2+471926;028.04250;+47.32403; 5.87e-02
J015211.3-210737;028.04708;-21.12708; 1.33e-01
J015215.7-521939;028.06542;-52.32750; 1.72e-01
J015219.2-183239;028.08000;-18.54431; 2.73e-01
J015224.1-315732;028.10042;-31.95889; 6.29e-02
J015227.1-231956;028.11292;-23.33222; 1.05e+00
J015230.5-502827;028.12708;-50.47430; 6.15e-02
J015235.5-285247;028.14792;-28.87972; 1.95e-01
J015240.2+014718;028.16750;+01.78847; 3.01e-01
J015242.1+010040;028.17542;+01.01111; 2.12e-01
J015242.3+272134;028.17625;+27.35958; 8.77e-02
J015243.0-331430;028.17917;-33.24166; 1.44e-01
J015244.7+360855;028.18625;+36.14861; 5.60e-01
J015244.8-744545;028.18667;-74.76264; 1.47e-01
J015245.1-071549;028.18792;-07.26361; 9.99e-02
J015249.0-222615;028.20417;-22.43750; 7.01e-02
J015257.1+373210;028.23792;+37.53625; 9.32e-02
J015259.4-134504;028.24750;-13.75125; 1.48e-01
J015305.0+293440;028.27083;+29.57778; 1.00e+00
J015305.7-021525;028.27375;-02.25708; 8.63e-02
J015308.4+751756;028.28500;+75.29889; 1.09e-01
J015311.5-072849;028.29792;-07.48028; 1.39e-01
J015311.6-210545;028.29833;-21.09597; 3.05e-01
J015313.7+010248;028.30709;+01.04681; 7.60e-02
J015313.7-110621;028.30709;-11.10597; 9.09e-02
J015316.2-022922;028.31750;-02.48944; 9.09e-02
J015316.2-475830;028.31750;-47.97500; 1.90e-01
J015323.5-100055;028.34792;-10.01528; 5.62e-02
J015325.0+711515;028.35417;+71.25417; 5.59e-02
J015332.8-011853;028.38667;-01.31472; 1.36e-01
J015334.2+031126;028.39250;+03.19056; 1.47e-01
J015347.1-062819;028.44625;-06.47208; 7.31e-02
J015349.5+015257;028.45625;+01.88264; 2.54e-01
J015351.1-145946;028.46292;-14.99625; 3.90e-01
J015355.3+305252;028.48042;+30.88125; 6.04e-02
J015401.2-403154;028.50500;-40.53181; 1.08e-01
J015403.8-404037;028.51583;-40.67708; 7.72e-02
J015420.3-362934;028.58458;-36.49292; 5.06e-02
J015426.6+574136;028.61083;+57.69347; 2.36e-01
J015440.5-270659;028.66875;-27.11639; 6.22e-02
J015443.0+335329;028.67920;+33.89140; 1.43e-01
J015450.6-242058;028.71083;-24.34958; 5.33e-02
J015503.5-050835;028.76458;-05.14319; 5.94e-02
J015505.4+335452;028.77250;+33.91444; 2.22e-01
J015510.0+445230;028.79167;+44.87514; 6.46e-02
J015514.4-450605;028.81000;-45.10139; 8.45e-02
J015515.4-173916;028.81417;-17.65444; 6.22e-02
J015520.5-471645;028.83542;-47.27917; 6.47e-02
J015522.7-384615;028.84459;-38.77083; 2.10e-01
J015523.3+475534;028.84708;+47.92625; 6.42e-02
J015524.9+022818;028.85375;+02.47181; 1.26e+00
J015530.4-085720;028.87667;-08.95556; 1.34e-01
J015536.7+311525;028.90292;+31.25708; 5.51e-02
J015546.4+071902;028.94333;+07.31722; 7.56e-02
J015548.2+242620;028.95083;+24.43903; 2.17e-01
J015549.8-053506;028.95750;-05.58514; 7.08e-02
J015551.4-142546;028.96417;-14.42958; 7.30e-02
J015553.6-782049;028.97334;-78.34695; 9.45e-02
J015555.6+040620;028.98167;+04.10556; 9.45e-02
J015557.3-513634;028.98875;-51.60944; 1.66e+00
J015559.5-250338;028.99792;-25.06056; 7.77e-02
J015600.2+150206;029.00083;+15.03514; 3.07e-01
J015604.5+805432;029.01875;+80.90889; 7.18e-01
J015609.0-050044;029.03750;-05.01222; 1.12e-01
J015615.2+000603;029.06333;+00.10097; 8.24e-02
J015621.3-261512;029.08875;-26.25347; 8.39e-02
J015621.6+241838;029.09000;+24.31056; 6.46e-02
J015622.0+444230;029.09167;+44.70847; 7.72e-02
J015622.6+053736;029.09417;+05.62667; 8.22e-02
J015627.3+122455;029.11375;+12.41528; 1.33e-01
J015630.1-413636;029.12542;-41.61000; 9.99e-02
J015634.6-421306;029.14417;-42.21847; 1.02e-01
J015634.6-835836;029.14417;-83.97667; 1.32e-01
J015635.4-234907;029.14750;-23.81875; 5.84e-02
J015645.4-474412;029.18917;-47.73680; 6.06e-02
J015647.6-002100;029.19833;-00.35014; 5.96e-02
J015658.6-530208;029.24417;-53.03569; 4.47e-01
J015701.4-210251;029.25583;-21.04764; 6.33e-02
J015701.5-323527;029.25625;-32.59097; 9.88e-02
J015702.0-180933;029.25833;-18.15931; 5.36e-02
J015705.3+412029;029.27209;+41.34139; 2.19e-01
J015708.6-193128;029.28583;-19.52458; 5.21e-02
J015710.3-472307;029.29292;-47.38542; 2.85e-01
J015715.7-055142;029.31542;-05.86167; 5.29e-02
J015715.9-131901;029.31625;-13.31708; 6.03e-02
J015720.1+121453;029.33375;+12.24819; 1.29e-01
J015722.1-215857;029.34208;-21.98264; 8.33e-02
J015722.5+321253;029.34375;+32.21472; 7.91e-02
J015729.7-642304;029.37375;-64.38458; 5.05e-02
J015730.1-054944;029.37542;-05.82889; 9.67e-02
J015732.8-045439;029.38667;-04.91097; 5.11e-02
J015742.8-423456;029.42833;-42.58222; 6.68e-02
J015749.4-215403;029.45583;-21.90097; 2.32e-01
J015752.3+331012;029.46792;+33.17014; 4.73e-01
J015752.9-274001;029.47042;-27.66708; 5.92e-02
J015757.8+233620;029.49084;+23.60556; 6.57e-02
J015759.3+573903;029.49708;+57.65083; 5.86e-02
J015805.5-372821;029.52292;-37.47250; 8.37e-02
J015812.1+484406;029.55042;+48.73500; 6.87e-02
J015828.3-014706;029.61792;-01.78500; 7.48e-02
J015846.3-613410;029.69292;-61.56958; 9.38e-02
J015852.2-230850;029.71750;-23.14736; 7.45e-02
J015904.8-341250;029.77000;-34.21403; 9.96e-02
J015910.0+010518;029.79167;+01.08847; 6.23e-02
J015912.4+033110;029.80167;+03.51944; 3.24e-01
J015920.7-180217;029.83625;-18.03806; 1.53e-01
J015922.2+583124;029.84250;+58.52333; 4.57e-01
J015927.0-213040;029.86250;-21.51111; 5.56e-02
J015935.1+104707;029.89625;+10.78528; 1.37e-01
J015935.7+234848;029.89875;+23.81333; 8.90e-02
J015936.9-652656;029.90375;-65.44889; 5.18e-02
J015938.5-133205;029.91042;-13.53472; 2.63e-01
J015948.9-035206;029.95375;-03.86847; 1.39e-01
J015949.9-084949;029.95792;-08.83028; 1.66e-01
J015950.6+002337;029.96083;+00.39361; 2.08e-01
J015951.5-380725;029.96458;-38.12361; 7.10e-02
J015955.0-304514;029.97917;-30.75389; 1.33e-01
J015957.7+624156;029.99042;+62.69889; 7.30e-02
J020002.0+012123;030.00833;+01.35639; 6.06e-02
J020007.4-791418;030.03083;-79.23847; 9.94e-02
J020011.4-264708;030.04750;-26.78569; 8.38e-02
J020012.5+130317;030.05209;+13.05472; 1.67e-01
J020013.1+065510;030.05458;+06.91958; 5.76e-02
J020013.6-084106;030.05667;-08.68500; 1.70e-01
J020014.5+312543;030.06042;+31.42861; 1.43e-01
J020020.0+073511;030.08333;+07.58639; 9.23e-02
J020021.0-410936;030.08750;-41.16014; 7.92e-02
J020026.7+024012;030.11125;+02.67000; 3.61e-01
J020029.3-312741;030.12208;-31.46139; 5.29e-02
J020029.8-024004;030.12417;-02.66792; 8.96e-02
J020030.2+271238;030.12584;+27.21070; 1.20e-01
J020033.8-230013;030.14083;-23.00375; 5.34e-02
J020034.3+275303;030.14292;+27.88417; 6.09e-02
J020037.3-164904;030.15542;-16.81778; 2.77e-01
J020046.3+595728;030.19291;+59.95792; 2.53e-01
J020046.9-431845;030.19542;-43.31250; 1.79e-01
J020049.0-295925;030.20417;-29.99028; 6.54e-02
J020058.2-621451;030.24250;-62.24764; 5.74e-02
J020106.3+003400;030.27625;+00.56667; 3.39e-01
J020118.8-370457;030.32833;-37.08250; 1.09e-01
J020121.7-225931;030.34042;-22.99195; 6.68e-02
J020128.2-124605;030.36750;-12.76810; 7.89e-02
J020135.5-160957;030.39792;-16.16597; 1.10e-01
J020138.2-372926;030.40917;-37.49055; 6.28e-02
J020138.7-324554;030.41125;-32.76500; 1.35e-01
J020144.1-013957;030.43375;-01.66597; 7.19e-02
J020144.2-021158;030.43417;-02.19958; 2.73e-01
J020146.5+011717;030.44375;+01.28806; 5.00e-01
J020151.6+012902;030.46500;+01.48403; 6.36e-02
J020154.6-523453;030.47750;-52.58153; 1.64e-01
J020154.9+533733;030.47875;+53.62583; 9.67e-02
J020156.9+705432;030.48708;+70.90903; 3.83e-01
J020157.1-113238;030.48792;-11.54403; 1.76e-01
J020206.2+135005;030.52584;+13.83472; 6.83e-02
J020210.5-020616;030.54375;-02.10444; 8.29e-02
J020212.0-623532;030.55000;-62.59236; 5.68e-01
J020215.2-444657;030.56333;-44.78250; 1.77e-01
J020215.7+364311;030.56542;+36.71986; 5.70e-01
J020216.5-761959;030.56875;-76.33319; 1.01e-01
J020220.5-010609;030.58541;-01.10250; 6.68e-02
J020221.0-010715;030.58750;-01.12083; 1.43e-01
J020222.9+190421;030.59542;+19.07264; 2.24e-01
J020226.5+084913;030.61042;+08.82028; 8.16e-02
J020227.1+024902;030.61292;+02.81736; 7.63e-02
J020228.9+103455;030.62042;+10.58194; 2.82e-01
J020229.3-045049;030.62208;-04.84708; 5.20e-02
J020237.7+094932;030.65708;+09.82569; 5.86e-02
J020238.5+492624;030.66042;+49.44014; 1.01e-01
J020243.7+133438;030.68208;+13.57736; 1.26e-01
J020246.1-482535;030.69209;-48.42639; 5.16e-02
J020248.3-400650;030.70125;-40.11403; 6.89e-02
J020251.9-022323;030.71625;-02.38972; 1.03e-01
J020253.5+044658;030.72292;+04.78292; 7.49e-02
J020301.2-240213;030.75500;-24.03695; 2.02e-01
J020305.9-072006;030.77458;-07.33514; 9.07e-02
J020309.9+483718;030.79125;+48.62181; 1.37e-01
J020317.5-243832;030.82292;-24.64236; 5.79e-02
J020328.5-094915;030.86875;-09.82083; 5.34e-02
J020343.9-272231;030.93291;-27.37542; 5.66e-02
J020346.9+353527;030.94542;+35.59083; 9.96e-01
J020348.0-002038;030.95000;-00.34403; 7.03e-02
J020348.2-395657;030.95083;-39.94931; 5.58e-02
J020348.7+295921;030.95292;+29.98931; 5.39e-01
J020349.2+503008;030.95500;+50.50236; 2.05e-01
J020350.3-424332;030.95958;-42.72556; 2.51e-01
J020355.4-452446;030.98083;-45.41292; 4.31e-01
J020359.7+000802;030.99875;+00.13389; 1.14e-01
J020400.1-293251;031.00042;-29.54750; 6.67e-02
J020403.1-510455;031.01292;-51.08194; 4.39e-01
J020408.4-485401;031.03500;-48.90028; 5.70e-02
J020412.9-073415;031.05375;-07.57083; 5.93e-02
J020413.6-333345;031.05667;-33.56250; 1.61e-01
J020419.0+131851;031.07917;+13.31417; 5.29e-02
J020428.7-031024;031.11958;-03.17347; 5.41e-02
J020429.4+031936;031.12250;+03.32681; 8.83e-02
J020432.4+012208;031.13500;+01.36889; 1.09e-01
J020436.7-545320;031.15292;-54.88889; 1.38e-01
J020436.8-115941;031.15333;-11.99472; 7.38e-02
J020438.7-530722;031.16125;-53.12278; 8.74e-02
J020443.0-243813;031.17917;-24.63694; 5.91e-02
J020452.6-534612;031.21917;-53.77014; 1.70e-01
J020457.6-170109;031.24000;-17.01917; 6.32e-02
J020458.0-154052;031.24167;-15.68111; 9.97e-02
J020503.6-173717;031.26500;-17.62139; 7.73e-02
J020506.8+771651;031.27833;+77.28098; 2.18e+00
J020507.0+060507;031.27917;+06.08528; 1.01e-01
J020515.9-450100;031.31625;-45.01667; 1.50e-01
J020517.4-232723;031.32250;-23.45639; 5.32e-02
J020525.2-094728;031.35500;-09.79125; 8.33e-02
J020527.8-244600;031.36584;-24.76681; 6.80e-02
J020529.7+644934;031.37375;+64.82625; 2.41e-01
J020539.8-134830;031.41583;-13.80847; 6.61e-02
J020548.1-402202;031.45042;-40.36722; 1.36e-01
J020549.7-133818;031.45708;-13.63847; 1.78e-01
J020549.7-420645;031.45708;-42.11264; 1.29e-01
J020552.3-524359;031.46792;-52.73306; 5.49e-02
J020600.1+063210;031.50042;+06.53611; 7.02e-02
J020615.9-001728;031.56625;-00.29125; 3.56e-01
J020619.4-440044;031.58083;-44.01236; 5.22e-02
J020619.7-422307;031.58208;-42.38542; 5.47e-02
J020619.8-070229;031.58250;-07.04153; 8.86e-02
J020622.7-011754;031.59458;-01.29833; 5.08e-02
J020628.7-145349;031.61958;-14.89694; 1.20e-01
J020640.5-714822;031.66875;-71.80625; 2.31e-01
J020642.9-021504;031.67875;-02.25125; 6.38e-02
J020648.8+673955;031.70333;+67.66528; 7.50e-02
J020653.0+151744;031.72083;+15.29556; 4.04e-01
J020701.6-514137;031.75667;-51.69375; 5.37e-02
J020701.9-440645;031.75792;-44.11250; 7.59e-02
J020702.5+293035;031.76042;+29.50972; 2.02e-01
J020703.1-774421;031.76292;-77.73917; 8.92e-02
J020711.8+641711;031.79917;+64.28639; 8.78e-02
J020712.8+053623;031.80334;+05.60653; 8.36e-02
J020716.5+841126;031.81875;+84.19070; 6.04e-02
J020716.7+524527;031.81958;+52.75750; 1.24e-01
J020718.6-531155;031.82750;-53.19861; 6.56e-01
J020729.1-594014;031.87125;-59.67056; 3.66e-01
J020749.0+024250;031.95417;+02.71403; 1.19e-01
J020805.0-090637;032.02083;-09.11028; 5.71e-02
J020807.3+022242;032.03042;+02.37833; 6.38e-02
J020811.9+150839;032.04958;+15.14431; 9.92e-02
J020812.7+053628;032.05292;+05.60778; 8.06e-02
J020813.9+455934;032.05791;+45.99292; 8.23e-02
J020837.5+352314;032.15625;+35.38722; 2.25e-01
J020838.3-184616;032.15958;-18.77111; 5.45e-02
J020840.7-303041;032.16958;-30.51153; 6.43e-02
J020843.2-100518;032.18000;-10.08833; 1.84e-01
J020850.6-072123;032.21083;-07.35653; 7.58e-02
J020851.6-122310;032.21500;-12.38611; 5.67e-02
J020852.1+492705;032.21708;+49.45139; 3.43e-01
J020906.4-153545;032.27666;-15.59583; 5.24e-02
J020906.8-273039;032.27833;-27.51097; 6.84e-02
J020915.0+420223;032.31250;+42.03986; 1.60e-01
J020917.0-212259;032.32084;-21.38305; 3.27e-01
J020917.6+444951;032.32333;+44.83097; 4.25e-01
J020922.2-522920;032.34250;-52.48903; 7.67e-01
J020926.6-215649;032.36083;-21.94695; 7.02e-02
J020927.1-472214;032.36292;-47.37069; 5.62e-02
J020927.1-764057;032.36292;-76.68250; 1.51e-01
J020928.1-295357;032.36708;-29.89917; 3.41e-01
J020929.0+283243;032.37083;+28.54528; 5.43e-02
J020929.9+194515;032.37458;+19.75417; 8.53e-02
J020931.3-305815;032.38042;-30.97097; 1.25e-01
J020933.0-235045;032.38750;-23.84583; 7.55e-02
J020936.5-851811;032.40208;-85.30305; 2.48e-01
J020936.8+522645;032.40334;+52.44597; 7.52e-01
J020938.1-483556;032.40875;-48.59903; 7.82e-02
J020938.2+425126;032.40917;+42.85722; 5.60e-02
J020951.6+034607;032.46500;+03.76861; 1.11e-01
J020952.1-631838;032.46708;-63.31055; 3.27e-01
J020953.8-135321;032.47417;-13.88917; 2.78e-01
J020959.5+140443;032.49792;+14.07875; 9.41e-02
J021006.2-202503;032.52583;-20.41750; 7.90e-02
J021008.2-543036;032.53416;-54.51014; 5.61e-01
J021009.7-145120;032.54042;-14.85556; 5.63e-02
J021017.3-235740;032.57209;-23.96111; 6.10e-02
J021021.0-434255;032.58750;-43.71528; 5.05e-02
J021021.4-034247;032.58916;-03.71306; 6.05e-02
J021022.8-035103;032.59500;-03.85097; 5.07e-02
J021024.3-505000;032.60125;-50.83347; 5.82e-02
J021029.1-110027;032.62125;-11.00750; 8.06e-02
J021040.9+605729;032.67042;+60.95819; 5.40e-02
J021046.8-510055;032.69500;-51.01528; 6.36e-02
J021055.5-460403;032.73125;-46.06764; 1.20e-01
J021059.9-210258;032.74958;-21.04958; 7.97e-02
J021102.4-360917;032.76000;-36.15472; 8.23e-02
J021121.1+193827;032.83792;+19.64083; 1.36e-01
J021125.9-401702;032.85791;-40.28403; 1.74e-01
J021143.6-155048;032.93166;-15.84681; 7.05e-02
J021149.9-155809;032.95792;-15.96931; 7.25e-02
J021152.7-170224;032.96959;-17.04014; 7.61e-02
J021154.2-333338;032.97583;-33.56055; 5.82e-02
J021157.5+042150;032.98958;+04.36403; 1.98e-01
J021206.0-255808;033.02500;-25.96903; 1.32e-01
J021208.9+270817;033.03708;+27.13820; 7.98e-02
J021208.9+362550;033.03708;+36.43056; 5.99e-02
J021209.1-404420;033.03792;-40.73903; 5.49e-02
J021215.5+235749;033.06459;+23.96361; 2.32e-01
J021217.8+373827;033.07417;+37.64097; 1.07e-01
J021218.0-073705;033.07500;-07.61819; 6.42e-02
J021220.1-444045;033.08375;-44.67916; 5.88e-02
J021222.3+301810;033.09291;+30.30278; 1.02e+00
J021225.5+521003;033.10625;+52.16764; 7.75e-02
J021230.5-275436;033.12708;-27.91014; 5.31e-02
J021231.5-350336;033.13125;-35.06000; 2.13e-01
J021244.5+580536;033.18542;+58.09347; 8.24e-02
J021246.2-342256;033.19250;-34.38222; 7.35e-02
J021251.8-470849;033.21583;-47.14695; 1.49e-01
J021253.0+404006;033.22083;+40.66847; 1.45e-01
J021254.4-112348;033.22667;-11.39681; 5.01e-02
J021254.6+000015;033.22750;+00.00417; 8.48e-02
J021312.8+403030;033.30333;+40.50834; 1.86e-01
J021320.6+364837;033.33583;+36.81042; 9.14e-02
J021321.6+054627;033.34000;+05.77417; 2.62e-01
J021329.9-465452;033.37458;-46.91459; 1.06e-01
J021340.6-424937;033.41917;-42.82695; 6.82e-02
J021346.7-025635;033.44458;-02.94319; 6.64e-02
J021348.9+582310;033.45375;+58.38625; 5.52e-02
J021351.5-412929;033.46458;-41.49153; 6.00e-02
J021354.1-221923;033.47542;-22.32319; 1.10e-01
J021355.3-055124;033.48042;-05.85667; 1.33e-01
J021357.2-025346;033.48833;-02.89625; 9.05e-02
J021359.6+004245;033.49833;+00.71264; 1.38e-01
J021359.7+472831;033.49875;+47.47528; 1.49e-01
J021359.9-695130;033.49958;-69.85833; 1.25e-01
J021411.4-473241;033.54750;-47.54486; 6.18e-02
J021412.0-353747;033.55000;-35.62972; 1.74e-01
J021414.1-033751;033.55875;-03.63083; 5.97e-02
J021417.8+514457;033.57417;+51.74917; 3.42e-01
J021431.0-112119;033.62917;-11.35528; 8.47e-02
J021433.6-254800;033.64000;-25.80000; 5.55e-02
J021433.7-004603;033.64042;-00.76764; 2.69e+00
J021438.0-643018;033.65833;-64.50500; 2.92e-01
J021439.0-433319;033.66250;-43.55528; 8.27e-02
J021441.9-043423;033.67458;-04.57306; 1.07e-01
J021446.9-035627;033.69542;-03.94097; 9.66e-02
J021451.2-185524;033.71333;-18.92333; 7.68e-02
J021502.0-233221;033.75833;-23.53930; 1.26e-01
J021509.9-133657;033.79125;-13.61583; 7.15e-02
J021515.4-161744;033.81417;-16.29556; 7.51e-02
J021520.7-332156;033.83625;-33.36570; 9.19e-02
J021531.5-390414;033.88125;-39.07056; 1.14e-01
J021542.4+250245;033.92667;+25.04583; 7.63e-02
J021545.0-790129;033.93750;-79.02486; 2.07e-01
J021545.3-181423;033.93875;-18.23972; 8.45e-02
J021548.8-294848;033.95333;-29.81347; 5.28e-02
J021551.8-402342;033.96583;-40.39500; 8.91e-02
J021553.0-470950;033.97084;-47.16389; 1.27e-01
J021559.9-092913;033.99958;-09.48694; 2.91e-01
J021616.1-481627;034.06709;-48.27431; 1.27e-01
J021625.8-405649;034.10750;-40.94695; 8.26e-02
J021632.3+231448;034.13458;+23.24681; 3.80e-01
J021633.9-013548;034.14125;-01.59681; 1.05e-01
J021636.0-255523;034.15000;-25.92306; 9.01e-02
J021639.6+811022;034.16500;+81.17278; 5.23e-02
J021640.4-564506;034.16833;-56.75180; 1.44e-01
J021640.5-305911;034.16875;-30.98639; 2.42e-01
J021642.7-474925;034.17792;-47.82375; 1.15e-01
J021644.2-384358;034.18417;-38.73278; 8.55e-02
J021647.3+392922;034.19709;+39.48944; 5.37e-02
J021649.0+703552;034.20417;+70.59792; 1.01e-01
J021649.6+081817;034.20667;+08.30472; 1.21e-01
J021652.4-663644;034.21833;-66.61236; 2.26e-01
J021655.0-232216;034.22917;-23.37111; 2.78e-01
J021656.2-434605;034.23417;-43.76820; 1.17e-01
J021657.7-005127;034.24041;-00.85764; 6.71e-02
J021658.1-032458;034.24208;-03.41611; 1.97e-01
J021702.1+341327;034.25875;+34.22417; 4.23e-01
J021707.8+110403;034.28250;+11.06750; 2.52e-01
J021710.7-524432;034.29459;-52.74236; 8.21e-02
J021724.3-395457;034.35125;-39.91583; 6.14e-02
J021724.8+284430;034.35333;+28.74167; 3.64e-01
J021738.8-300455;034.41167;-30.08208; 2.25e-01
J021742.4-501450;034.42667;-50.24736; 1.10e-01
J021754.1-195813;034.47541;-19.97028; 1.44e-01
J021756.0+624359;034.48340;+62.73310;
J021756.5+122532;034.48542;+12.42569; 1.00e-01
J021757.3-163101;034.48875;-16.51694; 5.65e-02
J021758.0+311547;034.49166;+31.26306; 1.77e-01
J021802.3-712759;034.50958;-71.46653; 4.71e-01
J021812.8-502447;034.55333;-50.41306; 6.07e-02
J021814.5-642258;034.56042;-64.38292; 5.76e-02
J021819.4-314150;034.58083;-31.69736; 9.66e-02
J021828.6+410836;034.61917;+41.14347; 1.07e-01
J021829.9-045507;034.62458;-04.91875; 5.52e-02
J021830.0-480656;034.62500;-48.11570; 6.70e-02
J021835.0-305009;034.64583;-30.83597; 2.84e-01
J021836.6+121902;034.65250;+12.31736; 8.31e-02
J021851.4-695306;034.71417;-69.88514; 1.06e-01
J021853.8-285751;034.72417;-28.96417; 1.10e-01
J021859.6+395623;034.74833;+39.93972; 7.02e-02
J021902.4-362612;034.76000;-36.43681; 5.13e-02
J021902.7-264131;034.76125;-26.69194; 5.44e-02
J021905.8-172503;034.77417;-17.41764; 6.98e-02
J021915.4-360534;034.81417;-36.09292; 8.15e-02
J021918.3-682806;034.82625;-68.46848; 7.33e-02
J021944.9-102549;034.93708;-10.43042; 1.57e-01
J021952.9-300141;034.97042;-30.02819; 1.84e-01
J021956.0-545116;034.98333;-54.85444; 5.29e-02
J022000.6-380628;035.00250;-38.10778; 5.31e-02
J022019.2-314010;035.08000;-31.66945; 7.80e-02
J022025.4-061739;035.10583;-06.29417; 1.05e-01
J022025.4-161348;035.10583;-16.23014; 1.40e-01
J022029.2-270653;035.12167;-27.11486; 7.69e-02
J022039.7-263441;035.16542;-26.57806; 6.02e-02
J022048.0-084257;035.20000;-08.71583; 8.51e-02
J022048.8-333319;035.20333;-33.55542; 2.23e-01
J022050.7+332049;035.21125;+33.34694; 6.72e-02
J022056.3-382850;035.23458;-38.48056; 1.08e-01
J022058.4-505834;035.24333;-50.97611; 6.11e-02
J022106.0-044058;035.27500;-04.68292; 8.99e-02
J022111.4+460003;035.29750;+46.00097; 3.55e-01
J022128.8-471257;035.37000;-47.21583; 5.32e-02
J022132.9+340449;035.38708;+34.08042; 1.14e-01
J022134.7+114623;035.39458;+11.77306; 1.30e-01
J022152.6+281047;035.46917;+28.17986; 1.38e-01
J022153.3-325922;035.47208;-32.98958; 5.15e-02
J022200.6-155637;035.50250;-15.94361; 6.97e-02
J022206.0+522112;035.52500;+52.35333; 1.16e-01
J022210.7+720501;035.54458;+72.08375; 5.37e-02
J022216.8-292938;035.57000;-29.49403; 6.10e-02
J022218.0-062513;035.57500;-06.42042; 1.17e-01
J022225.1+472927;035.60458;+47.49097; 2.21e-01
J022225.7-411553;035.60708;-41.26486; 1.39e-01
J022226.0-085706;035.60833;-08.95167; 7.72e-02
J022230.7-270700;035.62792;-27.11681; 9.47e-02
J022231.7+110603;035.63208;+11.10083; 8.04e-02
J022232.9-234903;035.63708;-23.81764; 8.69e-01
J022234.1+503335;035.64208;+50.55986; 4.60e-01
J022243.9-602243;035.68292;-60.37861; 3.57e-01
J022247.6-432004;035.69833;-43.33445; 7.82e-02
J022302.4-250225;035.76000;-25.04028; 1.23e-01
J022304.5+702037;035.76875;+70.34361; 8.48e-02
J022314.5-295155;035.81042;-29.86528; 5.09e-02
J022314.6-111741;035.81083;-11.29472; 5.20e-02
J022320.1-274741;035.83375;-27.79472; 1.25e-01
J022326.7+224344;035.86125;+22.72903; 4.53e-01
J022329.4+442025;035.87250;+44.34028; 1.05e-01
J022333.2+222752;035.88833;+22.46445; 2.39e-01
J022336.1-105616;035.90042;-10.93778; 1.16e-01
J022339.2-142113;035.91333;-14.35361; 5.25e-02
J022408.8-072428;036.03667;-07.40778; 7.52e-02
J022410.9-421359;036.04542;-42.23320; 1.23e-01
J022417.2-092556;036.07167;-09.43222; 5.92e-02
J022423.8-030631;036.09917;-03.10861; 1.35e-01
J022437.4-243344;036.15583;-24.56236; 2.05e-01
J022441.4-190826;036.17250;-19.14069; 2.33e-01
J022502.9-231254;036.26208;-23.21500; 4.45e-01
